Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,1,Import,566,Nigeria,NGA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,452468,,,,452468,,567883,,,2
H1,2000,2000,2000,4,0,1,Import,566,Nigeria,NGA,60,Bermuda,BMU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,9770,,,,9770,,126726,,,2
H1,2000,2000,2000,4,0,1,Import,566,Nigeria,NGA,76,Brazil,BRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,108,,,,108,,895,,,2
H1,2000,2000,2000,4,0,1,Import,566,Nigeria,NGA,96,Brunei Darussalam,BRN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,18500,,,,18500,,7853,,,2
H1,2000,2000,2000,4,0,1,Import,566,Nigeria,NGA,100,Bulgaria,BGR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,20600,,,,20600,,21598,,,2
H1,2000,2000,2000,4,0,1,Import,566,Nigeria,NGA,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,38600,,,,38600,,34006,,,2
H1,2000,2000,2000,4,0,1,Import,566,Nigeria,NGA,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,21600,,,,21600,,1545,,,2
H1,2000,2000,2000,4,0,1,Import,566,Nigeria,NGA,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,41089,,,,41089,,78477,,,2
H1,2000,2000,2000,4,0,1,Import,566,Nigeria,NGA,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,31511,,,,31511,,27998,,,2
H1,2000,2000,2000,4,0,1,Import,566,Nigeria,NGA,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,17700,,,,17700,,9110,,,2
H1,2000,2000,2000,4,0,1,Import,566,Nigeria,NGA,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,41588,,,,41588,,47781,,,2
H1,2000,2000,2000,4,0,1,Import,566,Nigeria,NGA,430,Liberia,LBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,100,,,,100,,1426,,,2
H1,2000,2000,2000,4,0,1,Import,566,Nigeria,NGA,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1907,,,,1907,,13314,,,2
H1,2000,2000,2000,4,0,1,Import,566,Nigeria,NGA,530,Neth. Antilles,ANT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,17117,,,,17117,,26985,,,2
H1,2000,2000,2000,4,0,1,Import,566,Nigeria,NGA,620,Portugal,PRT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,433,,,,433,,198,,,2
H1,2000,2000,2000,4,0,1,Import,566,Nigeria,NGA,702,Singapore,SGP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,15546,,,,15546,,25806,,,2
